Name,Item_Number,Label,Grouping,Two_Year_Comparison,National_Data_Comparison,Data_Type,Density_Type,YOY_Hist_Type,Extent,Extent_FS,Outlier_Min,Outlier_Max,Adjacency_Change,YOY_Change,OH_Thresh,AH_Thresh,YOYH_Thresh,RampAnalysis,Quality_Weight,Completeness_Weight
AADT,21,Annual Average Daily Traffic,T,Y,Y,numeric,density,1,FE + R,0,0,Inf,Y,Y,,5,5,Y,1,1
AADT_COMBINATION,24,Combination Truck AADT,T,Y,Y,numeric,density,1,FE*,2,0,Inf,Y,Y,,5,5,N,1,1
AADT_SINGLE_UNIT,22,Single Unit Truck and Bus AADT,T,Y,Y,numeric,density,1,FE*,2,0,Inf,Y,Y,,5,5,N,1,1
ACCESS_CONTROL,5,Access Control,I,Y,Y,numeric,,2,FE*,4,1,3,,N,,,,N,1,1
AT_GRADE_OTHER,33,"Number of Intersections, Type - Other",T,Y,Y,numeric,density,2,SP,0,0,Inf,,N,,,,N,1,1
BASE_THICKNESS,60,Base Thickness,P,Y,Y,numeric,,1,SP,0,0,Inf,,N,,,,N,1,1
BASE_TYPE,59,Base Type,P,Y,Y,numeric,,2,SP,0,1,8,,N,,,,N,1,1
COUNTER_PEAK_LANES,11,Counter Peak Lanes,I,Y,Y,numeric,,1,SP,0,,,,N,,,,N,1,1
COUNTY_ID,63,County ID,I,Y,N,numeric,density,2,FE,0,,,,N,,,,N,1,1
CRACKING_PERCENT,52,Cracking Percent,P,Y,Y,numeric,density,1,FE*,2,0,100,Y,Y,1,5,5,N,1,1
CURVES_A,43,Curve Classification A,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
CURVES_B,43,Curve Classification B,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
CURVES_C,43,Curve Classification C,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
CURVES_D,43,Curve Classification D,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
CURVES_E,43,Curve Classification E,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
CURVES_F,43,Curve Classification F,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
DIR_FACTOR,27,Directional Factor,T,Y,Y,numeric,density,1,SP,0,0,100,,Y,,,,N,1,1
DIR_THROUGH_LANES,70,Directional Through Lanes,,,,,,,,,,,,,,,,,,
F_SYSTEM,1,Functional System,I,Y,Y,numeric,bar,2,FE + R,0,1,7,,N,,,,Y,1,1
FACILITY_TYPE,3,Facility Type,I,Y,Y,numeric,,2,FE + R,0,1,7,,N,,,,Y,1,1
FAULTING,51,Faulting,P,Y,Y,numeric,density,1,FE*,2,0,1.01,Y,Y,1,5,5,N,1,1
FUTURE_AADT,28,Future AADT,T,Y,Y,numeric,density,1,SP,0,0,Inf,Y,Y,,5,5,N,1,1
GRADES_A,45,Grade Classification A,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
GRADES_B,45,Grade Classification B,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
GRADES_C,45,Grade Classification C,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
GRADES_D,45,Grade Classification D,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
GRADES_E,45,Grade Classification E,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
GRADES_F,45,Grade Classification F,G,Y,Y,numeric,density,1,SP*,0,0,Inf,,N,,,,N,1,1
MANAGED_LANES,9,Managed Lanes,I,Y,Y,numeric,,2,FE**,0,,,,N,,,,N,1,1
MANAGED_LANES_TYPE,8,Managed Lane Operations Type,I,Y,Y,numeric,,2,FE**,0,1,3,,N,,,,N,1,1
IRI,47,International Roughness Index,P,Y,Y,numeric,density,1,FE*,4,30,400,Y,Y,1,5,5,N,1,1
IS_RESTRICTED,73,Is Restricted ,,,,,,,,,,,,,,,,,,
K_FACTOR,26,K-factor,T,Y,Y,numeric,density,1,SP,0,4,20,,Y,,,,N,1,1
LANE_WIDTH,34,Lane Width,G,Y,Y,numeric,bar,2,SP,0,5,19,,N,,,,N,1,1
LAST_OVERLAY_THICKNESS,56,Last Overlay Thickness,P,Y,Y,numeric,density,1,SP,0,0.5,Inf,,N,,,,N,1,1
MAINTENANCE_OPERATIONS,68,Maintenance & Operations,I,Y,Y,numeric,density,2,FE**,0,1,80,,N,,,,N,1,1
MEDIAN_TYPE,35,Median Type,G,Y,Y,numeric,,2,SP,0,1,7,,N,,,,N,1,1
MEDIAN_WIDTH,36,Median Width,G,Y,Y,numeric,density,1,SP,0,0,Inf,,N,,,,N,1,1
NHFN,,National Highway Freight Network,SN,,,,,,,,,,,,,,,,,
NHS,64,National Highway System,SN,Y,Y,numeric,bar,2,FE**,0,1,9,,N,,,,N,1,1
NUMBER_SIGNALS,31,Number of Signalized Intersections,T,Y,Y,numeric,bar,2,SP,0,0,Inf,,N,,,,N,1,1
OWNERSHIP,6,Ownership,I,Y,Y,numeric,density,2,FE,0,,,,N,,,,N,1,1
PCT_GREEN_TIME,30,Percent Green Time,T,Y,Y,numeric,density,1,SP*,0,0,100,,N,,,,N,1,1
PCT_PASS_SIGHT,46,Percent Passing Sight Distance,G,Y,Y,numeric,density,1,SP,0,0,100,,N,,,,N,1,1
PCT_DH_COMBINATION,25,Percent Design Hour Combination Trucks,T,Y,Y,numeric,density,1,SP,0,0,20,,Y,,,,N,1,1
PCT_DH_SINGLE_UNIT,23,Percent Design Hour Single-Unit Trucks and Buses,T,Y,Y,numeric,density,1,SP,0,0,20,,Y,,,,N,1,1
PEAK_LANES,10,Peak Lanes,I,Y,Y,numeric,,1,SP,0,,,,N,,,,N,1,1
PEAK_PARKING,40,Peak Parking,G,Y,Y,numeric,,2,SP,0,1,3,,N,,,,N,1,1
PSR,48,Present Serviceability Rating,P,Y,Y,numeric,density,1,FE*,2,,,,Y,,,,N,1,1
ROUTE_NUMBER,17,Route Number,R,Y,N,numeric,density,2,FE**,0,,,,N,,,,N,1,1
ROUTE_QUALIFIER,19,Route Qualifier,R,Y,N,numeric,bar,2,FE**,0,1,10,,N,,,,N,1,1
ROUTE_SIGNING,18,Route Signing,R,Y,N,numeric,bar,2,FE**,0,1,10,,N,,,,N,1,1
RUTTING,50,Rutting,P,Y,Y,numeric,density,1,FE*,2,0,1,Y,Y,1,5,5,N,1,1
SHOULDER_TYPE,37,Shoulder Type,G,Y,Y,numeric,,2,SP,0,1,7,,N,,,,N,1,1
SHOULDER_WIDTH_L,39,Left Shoulder Width,G,Y,Y,numeric,density,1,SP,0,0,Inf,,N,,,,N,1,1
SHOULDER_WIDTH_R,38,Right Shoulder Width,G,Y,Y,numeric,density,1,SP,0,0,Inf,,N,,,,N,1,1
SIGNAL_TYPE,29,Signal Type,T,Y,Y,numeric,,2,SP,0,1,5,,N,,,,N,1,1
SPEED_LIMIT,14,Speed Limit,I,Y,Y,numeric,density,1,FE*,2,,,,N,,,,N,1,1
STOP_SIGNS,32,Number of Stop-Sign Controlled Intersections,T,Y,Y,numeric,bar,2,SP,0,0,Inf,,N,,,,N,1,1
STRAHNET_TYPE,65,Strategic Highway Network,SN,Y,Y,numeric,,2,FE**,0,1,2,,N,,,,N,1,1
STRUCTURE_TYPE,4,Structure Type,I,Y,Y,numeric,,2,FE**,0,1,3,,N,,,,N,1,1
SURFACE_TYPE,49,Surface Type,P,Y,Y,numeric,bar,2,SP,0,1,11,,N,,,,N,1,1
TERRAIN_TYPE,44,Terrain Type,G,Y,Y,numeric,,2,SP,0,1,3,,N,,,,N,1,1
THICKNESS_FLEXIBLE,58,Thickness Flexible,P,Y,Y,numeric,,2,SP,0,,,,N,,,,N,1,1
THICKNESS_RIGID,57,Thickness Rigid,P,Y,Y,numeric,,1,SP,0,,,,N,,,,N,1,1
THROUGH_LANES,7,Through Lanes,I,Y,Y,numeric,bar,2,FE + R,0,,,,N,,,,Y,1,1
TOLL_ID,15,Toll ID,I,Y,N,numeric,,2,FE**,0,1,3,,N,,,,N,1,1
NN,66,National Truck Network,SN,Y,Y,numeric,,2,FE**,0,1,2,,N,,,,N,1,1
TURN_LANES_L,13,Left Turn Lanes,I,Y,Y,numeric,,1,SP,0,1,6,,N,,,,N,1,1
TURN_LANES_R,12,Right Turn Lanes,I,Y,Y,numeric,,1,SP,0,1,6,,N,,,,N,1,1
URBAN_ID,2,Urban ID,I,Y,N,numeric,density,2,FE + R,0,,,,N,,,,Y,1,1
WIDENING_POTENTIAL,42,Widening Potential,G,Y,Y,numeric,bar,2,SP,0,0,9,,N,,,,N,1,1
YEAR_LAST_CONSTRUCTION,55,Year of Last Construction,P,Y,Y,date,density,2,SP,0,,,,N,,,,N,1,1
YEAR_LAST_IMPROVEMENT,54,Year of Last Improvement,P,Y,Y,date,density,2,SP,0,,,,N,,,,N,1,1
